Iteration: 0, Functional: 0.2764774571340904
Iteration: 1, Functional: 0.1038943616879201
Iteration: 2, Functional: 0.1274724823943922
Iteration: 3, Functional: 0.0039866372374559155
Iteration: 4, Functional: 0.0025798471071245676
Iteration: 5, Functional: 0.0023105443807799365
Iteration: 6, Functional: 0.0020330131557691057
Iteration: 7, Functional: 0.0015988060133456515
Iteration: 8, Functional: 0.0011819444042656638
Iteration: 9, Functional: 0.0007715891081909067
Iteration: 10, Functional: 0.0005209997037865236
Iteration: 11, Functional: 0.000349705754580993
Iteration: 12, Functional: 0.00022685318545884124
Iteration: 13, Functional: 0.00018261862771446757
Iteration: 14, Functional: 0.00012602477626270112
Iteration: 15, Functional: 0.00011024976543888484
Iteration: 16, Functional: 9.251952229492283e-05
Iteration: 17, Functional: 7.093306184298449e-05
Iteration: 18, Functional: 5.984221493914064e-05
Iteration: 19, Functional: 4.0419244481915744e-05
Iteration: 20, Functional: 2.8575031904384947e-05
Iteration: 21, Functional: 2.274060642891759e-05
Iteration: 22, Functional: 1.6650210421477333e-05
Iteration: 23, Functional: 1.4824626670960386e-05
Iteration: 24, Functional: 1.210573250063705e-05
Iteration: 25, Functional: 1.1080737329874449e-05
Iteration: 26, Functional: 9.073195554595042e-06
Iteration: 27, Functional: 8.044651278857792e-06
Iteration: 28, Functional: 7.461268508327072e-06
Iteration: 29, Functional: 6.5328512687007304e-06
Iteration: 30, Functional: 6.152991943884609e-06
Iteration: 31, Functional: 5.563907651018861e-06
