Z,	X 
-0.1,	5.0 
-0.1,	5.0160320641282565 
-0.1,	5.032064128256513 
-0.1,	5.04809619238477 
-0.1,	5.064128256513026 
-0.1,	5.080160320641283 
-0.1,	5.096192384769539 
-0.1,	5.112224448897796 
-0.1,	5.128256513026052 
-0.1,	5.144288577154309 
-0.1,	5.160320641282565 
-0.1,	5.176352705410822 
-0.1,	5.192384769539078 
-0.1,	5.208416833667335 
-0.1,	5.224448897795591 
-0.1,	5.240480961923848 
-0.1,	5.2565130260521045 
-0.1,	5.272545090180361 
-0.1,	5.2885771543086175 
-0.1,	5.304609218436874 
-0.1,	5.320641282565131 
-0.1,	5.336673346693387 
-0.1,	5.352705410821644 
-0.1,	5.3687374749499 
-0.1,	5.384769539078157 
-0.1,	5.400801603206413 
-0.1,	5.41683366733467 
-0.1,	5.432865731462925 
-0.1,	5.448897795591183 
-0.1,	5.4649298597194385 
-0.1,	5.480961923847695 
-0.1,	5.4969939879759515 
-0.1,	5.513026052104208 
-0.1,	5.529058116232465 
-0.1,	5.545090180360721 
-0.1,	5.561122244488978 
-0.1,	5.577154308617234 
-0.1,	5.593186372745491 
-0.1,	5.609218436873747 
-0.1,	5.625250501002004 
-0.1,	5.64128256513026 
-0.1,	5.657314629258517 
-0.1,	5.673346693386773 
-0.1,	5.68937875751503 
-0.1,	5.705410821643286 
-0.1,	5.721442885771543 
-0.1,	5.7374749498997994 
-0.1,	5.753507014028056 
-0.1,	5.7695390781563125 
-0.1,	5.785571142284569 
-0.1,	5.801603206412826 
-0.1,	5.817635270541082 
-0.1,	5.833667334669339 
-0.1,	5.849699398797595 
-0.1,	5.865731462925852 
-0.1,	5.881763527054108 
-0.1,	5.897795591182365 
-0.1,	5.913827655310621 
-0.1,	5.929859719438878 
-0.1,	5.945891783567134 
-0.1,	5.961923847695391 
-0.1,	5.977955911823647 
-0.1,	5.993987975951904 
-0.1,	6.01002004008016 
-0.1,	6.026052104208417 
-0.1,	6.0420841683366735 
-0.1,	6.05811623246493 
-0.1,	6.074148296593187 
-0.1,	6.090180360721443 
-0.1,	6.1062124248497 
-0.1,	6.122244488977956 
-0.1,	6.138276553106213 
-0.1,	6.154308617234469 
-0.1,	6.170340681362726 
-0.1,	6.186372745490982 
-0.1,	6.202404809619239 
-0.1,	6.218436873747495 
-0.1,	6.234468937875752 
-0.1,	6.2505010020040075 
-0.1,	6.266533066132265 
-0.1,	6.2825651302605205 
-0.1,	6.298597194388778 
-0.1,	6.314629258517034 
-0.1,	6.330661322645291 
-0.1,	6.346693386773547 
-0.1,	6.362725450901804 
-0.1,	6.37875751503006 
-0.1,	6.394789579158317 
-0.1,	6.410821643286573 
-0.1,	6.42685370741483 
-0.1,	6.442885771543086 
-0.1,	6.458917835671342 
-0.1,	6.474949899799599 
-0.1,	6.490981963927855 
-0.1,	6.507014028056112 
-0.1,	6.5230460921843685 
-0.1,	6.539078156312625 
-0.1,	6.5551102204408815 
-0.1,	6.571142284569138 
-0.1,	6.587174348697395 
-0.1,	6.603206412825651 
-0.1,	6.619238476953908 
-0.1,	6.635270541082164 
-0.1,	6.651302605210421 
-0.1,	6.667334669338677 
-0.1,	6.683366733466934 
-0.1,	6.69939879759519 
-0.1,	6.715430861723447 
-0.1,	6.731462925851703 
-0.1,	6.74749498997996 
-0.1,	6.763527054108216 
-0.1,	6.779559118236473 
-0.1,	6.7955911823647295 
-0.1,	6.811623246492986 
-0.1,	6.8276553106212425 
-0.1,	6.843687374749499 
-0.1,	6.859719438877756 
-0.1,	6.875751503006012 
-0.1,	6.891783567134269 
-0.1,	6.907815631262525 
-0.1,	6.923847695390782 
-0.1,	6.939879759519038 
-0.1,	6.955911823647295 
-0.1,	6.971943887775551 
-0.1,	6.987975951903808 
-0.1,	7.0040080160320635 
-0.1,	7.020040080160321 
-0.1,	7.0360721442885765 
-0.1,	7.052104208416834 
-0.1,	7.06813627254509 
-0.1,	7.084168336673347 
-0.1,	7.100200400801603 
-0.1,	7.11623246492986 
-0.1,	7.132264529058116 
-0.1,	7.148296593186373 
-0.1,	7.164328657314629 
-0.1,	7.180360721442886 
-0.1,	7.196392785571142 
-0.1,	7.212424849699399 
-0.1,	7.228456913827655 
-0.1,	7.244488977955912 
-0.1,	7.260521042084168 
-0.1,	7.276553106212425 
-0.1,	7.292585170340681 
-0.1,	7.308617234468938 
-0.1,	7.324649298597194 
-0.1,	7.3406813627254515 
-0.1,	7.356713426853707 
-0.1,	7.3727454909819645 
-0.1,	7.38877755511022 
-0.1,	7.404809619238478 
-0.1,	7.420841683366733 
-0.1,	7.436873747494991 
-0.1,	7.452905811623246 
-0.1,	7.468937875751503 
-0.1,	7.484969939879759 
-0.1,	7.501002004008016 
-0.1,	7.517034068136272 
-0.1,	7.533066132264529 
-0.1,	7.5490981963927855 
-0.1,	7.565130260521042 
-0.1,	7.5811623246492985 
-0.1,	7.597194388777555 
-0.1,	7.613226452905812 
-0.1,	7.629258517034068 
-0.1,	7.645290581162325 
-0.1,	7.661322645290581 
-0.1,	7.677354709418838 
-0.1,	7.693386773547094 
-0.1,	7.709418837675351 
-0.1,	7.725450901803607 
-0.1,	7.741482965931864 
-0.1,	7.75751503006012 
-0.1,	7.773547094188377 
-0.1,	7.789579158316633 
-0.1,	7.80561122244489 
-0.1,	7.8216432865731464 
-0.1,	7.837675350701403 
-0.1,	7.8537074148296595 
-0.1,	7.869739478957916 
-0.1,	7.885771543086173 
-0.1,	7.901803607214429 
-0.1,	7.917835671342685 
-0.1,	7.933867735470942 
-0.1,	7.949899799599198 
-0.1,	7.965931863727455 
-0.1,	7.981963927855711 
-0.1,	7.997995991983968 
-0.1,	8.014028056112224 
-0.1,	8.030060120240481 
-0.1,	8.046092184368737 
-0.1,	8.062124248496994 
-0.1,	8.07815631262525 
-0.1,	8.094188376753507 
-0.1,	8.110220440881763 
-0.1,	8.12625250501002 
-0.1,	8.142284569138276 
-0.1,	8.158316633266534 
-0.1,	8.17434869739479 
-0.1,	8.190380761523047 
-0.1,	8.206412825651302 
-0.1,	8.22244488977956 
-0.1,	8.238476953907815 
-0.1,	8.254509018036073 
-0.1,	8.270541082164328 
-0.1,	8.286573146292586 
-0.1,	8.302605210420841 
-0.1,	8.318637274549099 
-0.1,	8.334669338677354 
-0.1,	8.350701402805612 
-0.1,	8.366733466933868 
-0.1,	8.382765531062123 
-0.1,	8.39879759519038 
-0.1,	8.414829659318638 
-0.1,	8.430861723446894 
-0.1,	8.44689378757515 
-0.1,	8.462925851703407 
-0.1,	8.478957915831664 
-0.1,	8.49498997995992 
-0.1,	8.511022044088175 
-0.1,	8.527054108216433 
-0.1,	8.54308617234469 
-0.1,	8.559118236472946 
-0.1,	8.575150300601202 
-0.1,	8.591182364729459 
-0.1,	8.607214428857716 
-0.1,	8.623246492985972 
-0.1,	8.639278557114228 
-0.1,	8.655310621242485 
-0.1,	8.671342685370742 
-0.1,	8.687374749498998 
-0.1,	8.703406813627254 
-0.1,	8.719438877755511 
-0.1,	8.735470941883769 
-0.1,	8.751503006012024 
-0.1,	8.76753507014028 
-0.1,	8.783567134268537 
-0.1,	8.799599198396793 
-0.1,	8.81563126252505 
-0.1,	8.831663326653306 
-0.1,	8.847695390781563 
-0.1,	8.863727454909819 
-0.1,	8.879759519038076 
-0.1,	8.895791583166332 
-0.1,	8.91182364729459 
-0.1,	8.927855711422845 
-0.1,	8.943887775551103 
-0.1,	8.959919839679358 
-0.1,	8.975951903807616 
-0.1,	8.991983967935871 
-0.1,	9.008016032064127 
-0.1,	9.024048096192384 
-0.1,	9.040080160320642 
-0.1,	9.056112224448897 
-0.1,	9.072144288577153 
-0.1,	9.08817635270541 
-0.1,	9.104208416833668 
-0.1,	9.120240480961924 
-0.1,	9.13627254509018 
-0.1,	9.152304609218437 
-0.1,	9.168336673346694 
-0.1,	9.18436873747495 
-0.1,	9.200400801603205 
-0.1,	9.216432865731463 
-0.1,	9.23246492985972 
-0.1,	9.248496993987976 
-0.1,	9.264529058116231 
-0.1,	9.280561122244489 
-0.1,	9.296593186372746 
-0.1,	9.312625250501002 
-0.1,	9.328657314629258 
-0.1,	9.344689378757515 
-0.1,	9.360721442885772 
-0.1,	9.376753507014028 
-0.1,	9.392785571142284 
-0.1,	9.408817635270541 
-0.1,	9.424849699398798 
-0.1,	9.440881763527054 
-0.1,	9.45691382765531 
-0.1,	9.472945891783567 
-0.1,	9.488977955911825 
-0.1,	9.50501002004008 
-0.1,	9.521042084168336 
-0.1,	9.537074148296593 
-0.1,	9.55310621242485 
-0.1,	9.569138276553106 
-0.1,	9.585170340681362 
-0.1,	9.60120240480962 
-0.1,	9.617234468937877 
