"eta (1/ms)","Points:0","Points:1","Points:2"
0.0018786,0,0,0
0.0018335,18.75,0,0
0.0017896,37.5,0,0
0.001747,56.25,0,0
0.0017056,75,0,0
0.0016655,93.75,0,0
0.0016266,112.5,0,0
0.001589,131.25,0,0
0.0015527,150,0,0
0.0015176,168.75,0,0
0.0014839,187.5,0,0
0.0014515,206.25,0,0
0.0014203,225,0,0
0.0013906,243.75,0,0
0.0013621,262.5,0,0
0.001335,281.25,0,0
0.0013093,300,0,0
0.001285,318.75,0,0
0.0012621,337.5,0,0
0.0012405,356.25,0,0
0.0012204,375,0,0
0.0012018,393.75,0,0
0.0011845,412.5,0,0
0.0011688,431.25,0,0
0.0011544,450,0,0
0.0011416,468.75,0,0
0.0011303,487.5,0,0
0.0011204,506.25,0,0
0.001112,525,0,0
0.0011052,543.75,0,0
0.0010999,562.5,0,0
0.0010961,581.25,0,0
0.0010938,600,0,0
0.001093,618.75,0,0
0.001093,637.5,0,0
0.001093,656.25,0,0
0.001093,675,0,0
0.001093,693.75,0,0
0.001093,712.5,0,0
0.001093,731.25,0,0
0.001093,750,0,0
0.001093,768.75,0,0
0.001093,787.5,0,0
0.001093,806.25,0,0
0.001093,825,0,0
0.001093,843.75,0,0
0.001093,862.5,0,0
0.001093,881.25,0,0
0.001093,900,0,0
0.001093,918.75,0,0
0.001093,937.5,0,0
0.001093,956.25,0,0
0.001093,975,0,0
0.001093,993.75,0,0
0.001093,1012.5,0,0
0.001093,1031.2,0,0
0.001093,1050,0,0
0.001093,1068.8,0,0
0.001093,1087.5,0,0
0.001093,1106.2,0,0
0.001093,1125,0,0
0.001093,1143.8,0,0
0.001093,1162.5,0,0
0.001093,1181.2,0,0
0.001093,1200,0,0
0.001093,1218.8,0,0
0.001093,1237.5,0,0
0.001093,1256.2,0,0
0.001093,1275,0,0
0.001093,1293.8,0,0
0.001093,1312.5,0,0
0.001093,1331.2,0,0
0.001093,1350,0,0
0.001093,1368.8,0,0
0.001093,1387.5,0,0
0.001093,1406.2,0,0
0.001093,1425,0,0
0.001093,1443.8,0,0
